       30	2012-06-29 10:22:05	1	0	1	0
       29	2012-06-29 11:46:33	1	0	1	0
      363	2012-06-29 12:53:50	1	0	1	0
      365	2012-06-29 13:00:27	1	0	1	0
      506	2012-06-29 14:42:07	1	1	1	0
      507	2012-06-29 14:45:59	1	1	1	0
       23	2012-06-29 14:59:48	1	1	1	0
       11	2012-06-29 16:24:36	1	1	1	0
       25	2012-06-29 17:02:11	1	1	1	0
       24	2012-06-29 17:38:07	1	1	1	0
      364	2012-06-29 17:44:06	1	1	1	0
      502	2012-06-29 18:20:45	1	1	1	0
        2	2012-06-29 18:26:00	1	1	1	0
      122	2012-06-29 18:28:29	1	0	1	0
       14	2012-06-29 18:59:59	1	1	1	0
       14	2012-06-29 19:00:01	1	0	1	0
       15	2012-06-29 19:00:53	1	1	1	0
      366	2012-06-29 19:14:29	1	1	1	0
       24	2012-06-29 19:44:55	1	1	1	0
        8	2012-06-29 19:45:00	1	1	1	0
       30	2012-06-29 19:48:40	1	1	1	0
        3	2012-06-29 19:59:54	1	1	1	0
        6	2012-06-29 20:56:43	1	0	1	0
      365	2012-06-29 21:00:05	1	1	1	0
      354	2012-06-29 21:08:23	1	1	1	0
       29	2012-06-29 21:12:14	1	0	1	0
      363	2012-06-29 21:19:05	1	1	1	0
        7	2012-06-29 22:26:13	1	1	1	0
      510	2012-06-29 22:35:25	1	1	1	0
      505	2012-06-30 06:10:23	1	0	1	0
       95	2012-06-30 06:33:58	1	0	1	0
      134	2012-06-30 06:52:08	1	0	1	0
       23	2012-06-30 06:52:47	1	0	1	0
       11	2012-06-30 07:21:49	1	0	1	0
      364	2012-06-30 07:58:14	1	0	1	0
      366	2012-06-30 08:17:03	1	0	1	0
       30	2012-06-30 11:12:55	1	0	1	0
       29	2012-06-30 11:55:06	1	0	1	0
      365	2012-06-30 12:43:53	1	0	1	0
      357	2012-06-30 12:46:42	1	0	1	0
      363	2012-06-30 12:46:54	1	0	1	0
      506	2012-06-30 14:35:20	1	1	1	0
      505	2012-06-30 14:46:06	1	1	1	0
       11	2012-06-30 16:09:38	1	1	1	0
       15	2012-06-30 17:13:27	1	1	1	0
       25	2012-06-30 17:40:48	1	1	1	0
        4	2012-06-30 17:54:30	1	1	1	0
        3	2012-06-30 18:06:19	1	1	1	0
       95	2012-06-30 19:06:07	1	1	1	0
       29	2012-06-30 20:25:40	1	0	1	0
      358	2012-06-30 20:53:01	1	0	1	0
      365	2012-06-30 21:17:30	1	1	1	0
      366	2012-06-30 21:22:56	1	1	1	0
      363	2012-06-30 21:23:29	1	1	1	0
      357	2012-06-30 21:30:01	1	0	1	0
      505	2012-07-01 06:09:53	1	0	1	0
        6	2012-07-01 07:32:12	1	0	1	0
        7	2012-07-01 07:47:54	1	1	1	0
      366	2012-07-01 08:27:41	1	0	1	0
      358	2012-07-01 08:39:25	1	0	1	0
      364	2012-07-01 08:41:11	1	0	1	0
      361	2012-07-01 08:42:28	1	0	1	0
      353	2012-07-01 08:43:13	1	0	1	0
        3	2012-07-01 09:27:17	1	0	1	0
        8	2012-07-01 09:28:36	1	0	1	0
       14	2012-07-01 10:15:32	1	0	1	0
       29	2012-07-01 11:54:36	1	0	1	0
       30	2012-07-01 12:18:49	1	0	1	0
       30	2012-07-01 12:18:51	1	0	1	0
      363	2012-07-01 12:54:03	1	0	1	0
      357	2012-07-01 12:57:48	1	0	1	0
      365	2012-07-01 13:01:02	1	0	1	0
      506	2012-07-01 14:27:40	1	1	1	0
      506	2012-07-01 14:27:43	1	0	1	0
      505	2012-07-01 14:43:45	1	1	1	0
      507	2012-07-01 14:43:51	1	1	1	0
       13	2012-07-01 15:05:54	1	0	1	0
        6	2012-07-01 15:07:36	1	1	1	0
       25	2012-07-01 18:00:46	1	1	1	0
        3	2012-07-01 18:05:18	1	1	1	0
       14	2012-07-01 19:30:54	1	1	1	0
       29	2012-07-01 20:10:16	1	0	1	0
       29	2012-07-01 20:10:23	1	0	1	0
       30	2012-07-01 20:37:36	1	1	1	0
      362	2012-07-01 20:37:50	1	1	1	0
      366	2012-07-01 21:00:32	1	1	1	0
      365	2012-07-01 21:13:54	1	1	1	0
      364	2012-07-01 21:18:19	1	1	1	0
      361	2012-07-01 21:18:30	1	1	1	0
      358	2012-07-01 21:18:40	1	1	1	0
      354	2012-07-01 21:21:33	1	1	1	0
